y,tariff,age,area,channel,m01.out.peak.count,m01.out.peak.duration,m01.out.peak.value,m01.out.offpeak.count,m01.out.offpeak.duration,m01.out.offpeak.value,m01.in.count,m01.in.duration,m01.sms.count,m01.custom.service.count,m02.out.peak.count,m02.out.peak.duration,m02.out.peak.value,m02.out.offpeak.count,m02.out.offpeak.duration,m02.out.offpeak.value,m02.in.count,m02.in.duration,m02.sms.count,m02.custom.service.count,m03.out.peak.count,m03.out.peak.duration,m03.out.peak.value,m03.out.offpeak.count,m03.out.offpeak.duration,m03.out.offpeak.value,m03.in.count,m03.in.duration,m03.sms.count,m03.custom.service.count,m04.out.peak.count,m04.out.peak.duration,m04.out.peak.value,m04.out.offpeak.count,m04.out.offpeak.duration,m04.out.offpeak.value,m04.in.count,m04.in.duration,m04.sms.count,m04.custom.service.count,m05.out.peak.count,m05.out.peak.duration,m05.out.peak.value,m05.out.offpeak.count,m05.out.offpeak.duration,m05.out.offpeak.value,m05.in.count,m05.in.duration,m05.sms.count,m05.custom.service.count,m06.out.peak.count,m06.out.peak.duration,m06.out.peak.value,m06.out.offpeak.count,m06.out.offpeak.duration,m06.out.offpeak.value,m06.in.count,m06.in.duration,m06.sms.count,m06.custom.service.count,m07.out.peak.count,m07.out.peak.duration,m07.out.peak.value,m07.out.offpeak.count,m07.out.offpeak.duration,m07.out.offpeak.value,m07.in.count,m07.in.duration,m07.sms.count,m07.custom.service.count,m08.out.peak.count,m08.out.peak.duration,m08.out.peak.value,m08.out.offpeak.count,m08.out.offpeak.duration,m08.out.offpeak.value,m08.in.count,m08.in.duration,m08.sms.count,m08.custom.service.count,payment_bank account,payment_credit card,payment_post account,gender_B,gender_F,gender_M,added.service.1_N,added.service.1_Y,added.service.2_N,added.service.2_Y
103,8,35.8,1,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,186,21555,129.5419,0,0,0.0,132,17491,6,0,165,22971,134.5241,0,0,0.0,109,13344,4,0,False,False,True,True,False,False,True,False,True,False
0,7,16.65,2,3,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,False,True,True,False,False,True,False,False,True
522,7,25.11,3,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,True,False,False,False,True,True,False
0,8,16.16,1,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,False,True,False,False,False,True,False,True,True,False
15,8,41.57,2,5,16,1479,8.8479,4,812,2.4769,83,8704,0,0,6,465,2.8818,1,37,0.1973,78,6689,0,0,17,1593,9.8096,0,0,0.0,136,11772,0,1,11,415,3.2619,0,0,0.0,76,6383,0,0,8,871,5.289,0,0,0.0,89,8754,0,0,18,1376,8.9089,0,0,0.0,96,6918,0,1,15,956,6.4464,0,0,0.0,80,6389,0,0,6,558,3.4789,0,0,0.0,29,1944,0,0,False,False,True,True,False,False,True,False,True,False
20,8,33.37,1,5,32,1387,10.4128,0,0,0.0,27,1909,30,1,23,619,5.5473,0,0,0.0,34,2892,19,0,36,899,8.3227,0,0,0.0,30,2620,17,0,26,890,7.2454,0,0,0.0,16,851,27,0,32,1844,12.6485,0,0,0.0,23,1677,17,0,31,1988,13.3891,0,0,0.0,19,1509,11,0,25,2080,13.2404,0,0,0.0,11,630,10,0,14,956,6.3436,0,0,0.0,8,874,16,0,False,True,False,True,False,False,False,True,True,False
31,8,27.37,3,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,5,354,2.3303,0,0,0.0,2,18,1,0,11,295,2.6474,0,0,0.0,59,1879,0,3,24,647,5.6929,0,0,0.0,28,1232,0,0,58,2640,19.519,0,0,0.0,50,3317,0,0,15,864,5.9764,0,0,0.0,31,3060,0,0,41,2719,18.1674,0,0,0.0,12,1576,0,0,False,True,False,False,False,True,True,False,False,True
167,8,32.59,1,5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,146,20443,120.0907,0,0,0.0,128,4297,0,2,False,False,True,False,False,True,False,True,True,False
9,8,22.78,3,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,5,75,0.9007,0,0,0.0,3,26,0,0,9,432,3.1421,0,0,0.0,7,174,0,0,14,1093,7.046,0,0,0.0,3,76,0,3,10,527,3.6297,0,0,0.0,4,212,0,0,5,340,2.2585,0,0,0.0,1,15,0,0,False,True,False,False,False,True,True,False,True,False
23,8,23.5,2,9,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,8,454,3.1525,0,0,0.0,8,191,0,0,19,608,5.0783,0,0,0.0,11,166,0,0,13,863,5.7637,0,0,0.0,16,796,1,0,15,698,5.1248,0,0,0.0,13,343,0,0,22,1203,8.4358,0,0,0.0,15,1630,0,0,4,105,0.9508,0,0,0.0,3,33,0,0,False,True,False,False,False,True,True,False,True,False
